,name,point,addr,입력주소,X,Y,CLSS,PNU,주소구분,표준신주소,표준구주소,우편번호,행정동코드,행정동명,법정동코드,법정동명
0,풀잎치과,9.9,서울특별시 관악구 인헌길 17 3층,서울특별시 관악구 인헌길 17 3층,126.9670535,37.4747164,정좌표,1.16201e+18,새주소,서울특별시 관악구 인헌길 17,서울특별시 관악구 봉천동 1644-2,8795.0,1162062500.0,인헌동,1162010100.0,봉천동
1,루센트치과의원,9.9," 서울 서초구 사평대로 368 중앙화촌빌딩 3,4층 ","서울 서초구 사평대로 368 중앙화촌빌딩 3,4층 ",127.0235313,37.503796,정좌표,1.16501e+18,새주소,서울특별시 서초구 사평대로 368,서울특별시 서초구 서초동 1303-3,6611.0,1165053100.0,서초4동,1165010800.0,서초동
2,풀잎치과,9.9,서울특별시 관악구 인헌길 17 3층,서울특별시 관악구 인헌길 17 3층,126.9670535,37.4747164,정좌표,1.16201e+18,새주소,서울특별시 관악구 인헌길 17,서울특별시 관악구 봉천동 1644-2,8795.0,1162062500.0,인헌동,1162010100.0,봉천동
3,하늘치과의원,9.9,서울특별시 노원구 석계로 98-1,서울특별시 노원구 석계로 98-1,127.061108,37.6233897,정좌표,1.13501e+18,새주소,서울특별시 노원구 석계로 98-1,서울특별시 노원구 월계동 414-2,1886.0,1135056000.0,월계1동,1135010200.0,월계동
4,서울라이프치과의원,9.9," 서울특별시 성동구 무학로 33 151동 202호 (하왕십리동, 왕십리뉴타운1구역상가) ","서울특별시 성동구 무학로 33 151동 202호 (하왕십리동, 왕십리뉴타운1구역상가) ",127.0280879,37.5684114,(무료버전 위치정밀도 제한)정좌표,11200.0,새주소,서울특별시 성동구 무학로  33,서울특별시 성동구,,,,,
5,서울더바른치과교정과치과의원,9.8,서울 노원구 화랑로 325,서울 노원구 화랑로 325,127.0640457,37.6149613,정좌표,1.13501e+18,새주소,서울특별시 노원구 화랑로 325,서울특별시 노원구 월계동 50-29,1904.0,1135056000.0,월계1동,1135010200.0,월계동
6,원플러스치과의원,9.8,서울 광진구 아차산로 355,서울 광진구 아차산로 355,127.0825663,37.5373648,정좌표,1.12151e+18,새주소,서울특별시 광진구 아차산로 355,서울특별시 광진구 자양동 779,5026.0,1121582000.0,자양1동,1121510500.0,자양동
7,연세스마트치과의원,9.8,서울 동작구 상도로 69,서울 동작구 상도로 69,126.9283895,37.4999617,정좌표,1.15901e+18,새주소,서울특별시 동작구 상도로 69,서울특별시 동작구 대방동 393-65,6953.0,1159066000.0,대방동,1159010800.0,대방동
8,서래치과의원,9.8,서울 서초구 서래로 39 3층,서울 서초구 서래로 39 3층,126.9982215,37.4985562,정좌표,1.16501e+18,새주소,서울특별시 서초구 서래로 39,서울특별시 서초구 반포동 95-3,6576.0,1165058100.0,반포4동,1165010700.0,반포동
9,서울튼튼키즈치과의원,9.8,서울특별시 강동구 양재대로 1458 (길동),서울특별시 강동구 양재대로 1458 (길동),127.1396118,37.535902,정좌표,1.17401e+18,새주소,서울특별시 강동구 양재대로 1458,서울특별시 강동구 길동 411-4,5352.0,1174068500.0,길동,1174010500.0,길동
10,연세레이치과의원,9.8,서울 강남구 남부순환로 2936 윈플러스상가 208호,서울 강남구 남부순환로 2936 윈플러스상가 208호,127.0618904,37.4933303,정좌표,1.16801e+18,새주소,서울특별시 강남구 남부순환로 2936,서울특별시 강남구 대치동 507,6291.0,1168060000.0,대치1동,1168010600.0,대치동
11,서울프라임치과의원,9.8,서울특별시 강동구  상일로6길 26 (상일동),서울특별시 강동구  상일로6길 26 (상일동),127.1752708,37.5487802,정좌표,1.17401e+18,새주소,서울특별시 강동구 상일로6길 26,서울특별시 강동구 상일동 500,5288.0,1174052600.0,상일2동,1174010300.0,상일동
