,name,point,addr
0,강남더블유치과의원,9.6,서울 서초구 강남대로 463 7층
1,김병우치과의원,9.3,서울 영등포구 양평로 108 해성빌딩
2,상암지앤미치과의원,9.7,서울특별시 마포구 매봉산로 45
3,더행복한치과의원,8.9,서울 용산구 한강대로 95
4,바른나무치과의원,9.8,서울특별시 강남구 압구정로 324 3층 (신사동)
5,서울길치과의원,8.9,서울특별시 강동구 양재대로 1477 (길동)
6,키즈웰치과의원,9.1,서울특별시 영등포구 양평로 24 3층 (당산동6가)
7,연세덴티플러스치과의원,9.0,"서울특별시 노원구 노해로 485 7층 701호 (상계동, 기업은행빌딩)"
8,신길스마트치과의원,8.3,서울특별시 영등포구 도신로 235
9,유디치과의원 길동점,7.7,서울특별시 강동구 양재대로 1494 4층 (길동)
10,파크에비뉴치과,9.5,서울특별시 강남구 논현로 562 2층 (역삼동)
11,미유치과의원,9.4,서울 종로구 송월길 99
12,연세스마일치과의원,9.5,서울특별시 강동구 양재대로 1377 (성내동)
13,이즈치과의원 영등포점,8.5,서울특별시 영등포구 도신로60길 2
14,서남치과의원,9.8,서울 양천구 신정이펜2로 14
15,바른치과의원,9.7,서울특별시 성동구 고산자로 203 2층 바른치과의원
16,서울테헤란치과의원,9.2,서울 강남구 테헤란로 403
17,리체부부치과의원,9.1,서울특별시 성동구 상원길 36 6층 (성수동1가)
18,서울라이프치과의원,9.9,"서울특별시 성동구 무학로 33 151동 202호 (하왕십리동, 왕십리뉴타운1구역상가)"
19,인연합치과의원,9.6,서울특별시 노원구 동일로 1669
20,수색연세치과의원,9.5,서울 은평구 은평로 56 동진빌딩 3층
21,필립치과의원 압구정점,9.5,서울특별시 강남구 압구정로32길 11
22,상도연세치과의원,9.3,서울특별시 동작구 양녕로 265 2층 (상도1동)
23,더블유스타일치과의원,9.2,"서울특별시 용산구 백범로 341 (원효로1가,리첸시아 용산A 309호)"
24,스타일치과의원,9.0,서울 성동구 왕십리로 309
25,씨디씨어린이치과의원,8.8,서울특별시 강남구 학동로97길 11 (청담동)
26,미소천사치과의원,8.5,"서울특별시 성북구 월계로40길 7 304호 (장위동,센트럴상가)"
27,세이프플란트치과의원,8.6,서울 강남구 테헤란로25길 7 창성빌재단빌딩 4층
28,서울복음치과의원,8.3,"서울특별시 영등포구 국제금융로 86 207,218호 (여의도동)"
29,독일미치과의원,9.6,서울 강남구 압구정로36길 12 메디컬뱅크 2층 201호
30,최치과의원,8.6,서울 서대문구 거북골로14길 5 북가좌삼호아파트
31,연세이좋은치과의원,9.6,서울 영등포구 선유로13길 25
32,서울미담치과의원,9.6,서울특별시 강서구 양천로 66 (방화동)
33,스마일치과의원,9.3,"서울특별시 마포구 월드컵북로 224 2층 203호,204호,205호 (성산동)"
34,연세플러스치과의원,9.1,"서울특별시 강동구 양재대로 1571 (천호동, 천호복합 상업시설)"
35,탑라인치과의원,8.5,서울특별시 중구 소공로 70 서울중앙우체국
36,세종치과의원,9.1,서울특별시 종로구 새문안로5길 19 (당주동)
37,미플러스치과의원,8.9,서울특별시 중랑구 동일로 795 (중화동)
38,우리가족치과의원,9.2,서울 구로구 오류동 176-15
39,감동치과의원,9.5,서울특별시 노원구 한글비석로22길 28
40,서울헤아림치과의원,8.8,"서울특별시 중구 청계천로 400 A2층 2080호 (황학동, 롯데캐슬베네치아 메가몰)"
41,남상치과의원,9.1,서울 영등포구 신풍로 118 신한에디피스빌딩 3층
42,루덴치과의원 미아점,9.2,"서울특별시 강북구 삼양로19길 214 3층 (미아동, 금강빌딩)"
43,가고싶은치과의원 선릉,9.3,서울특별시 강남구 선릉로 427
44,행복한예인치과의원,8.9,"서울특별시 중구 남대문로9길 51 3층 301호 (을지로1가, 효덕빌딩)"
45,이가편한치과의원,8.7,"서울특별시 성동구 아차산로 113 304, 305, 306호 (성수동2가)"
46,슈바이처치과의원,9.3,서울특별시 도봉구 도봉로150길 28
47,청담미소밝은치과의원,9.2,서울 강남구 테헤란로 419 강남파이낸스플라자 3층
48,연세안치과의원,9.2,서울특별시 구로구 경인로65길 44
49,연세웰치과의원,8.6,서울특별시 도봉구 도봉로 480 (창동)
50,서울삼성치과의원,9.1,"서울특별시 성동구 행당로 84 308호 (행당동, 한진상가)"
51,연세위드치과의원,8.8,서울특별시 도봉구 노해로65길 10 (창동)
52,김우종치과의원,8.7,서울특별시 구로구 개봉로 17-1
53,연세탑치과의원,7.3,서울 은평구 불광로 6
54,서울올치과의원,8.5,서울특별시 금천구 금하로 705 2층 3호 (시흥동)
55,현대웰치과의원,8.9,서울특별시 서초구 고무래로8길 2 3층 (반포동)
56,휴플러스치과의원,6.8,서울특별시 노원구 한글비석로 77 2층 (하계동)
57,미소드림치과의원,8.3,서울특별시 강남구 강남대로 442
58,키즈니치과의원,9.4,서울특별시 노원구 동일로 1419
59,한마음치과의원,9.1,서울특별시 강북구 숭인로 73
60,강남샘치과의원,9.7,"서울특별시 강남구 강남대로 242 (도곡동, 크리스탈빌딩 5층)"
61,유앤아이치과의원 압구정,8.9,서울특별시 강남구 논현로167길 19 건물 6층
62,미앤드플라워치과의원,8.3,서울 영등포구 의사당대로 127
63,쉐르빌서울치과의원,9.7,"서울특별시 광진구 구의강변로 106 209호 (구의동, 삼성쉐르빌)"
64,빛치과의원,8.7,서울특별시 동대문구 휘경로3길 4 (이문동)
65,연세가은치과의원,9.2,서울특별시 마포구 마포대로 109
66,서울청춘치과의원,9.7,서울특별시 마포구 포은로 90
67,베스트e치과의원,8.9,"서울특별시 금천구 시흥대로 214 3층 302,303호 (시흥동, 비즈메드빌딩)"
68,가지런한치과교정과치과의원,7.5,서울특별시 은평구 은평로 121 응암CO메디칼빌딩 11층
69,서울수치과의원,9.1,서울 동대문구 신이문로 27
70,서울하우치과의원,9.5,서울특별시 용산구 후암로 47
71,경성길치과의원,9.5,서울특별시 마포구 동교로 207
72,예미담치과의원,8.5,인천광역시 서구 청라라임로 71
73,이하루치과의원,9.1,서울특별시 서대문구 신촌로 99
74,아임플치과의원,8.7,서울특별시 구로구 새말로 97 신도림테크노마트10층
75,이스터치과의원,7.5,서울특별시 성북구 종암로 132
76,제이치과의원,9.4,서울 송파구 송파대로 201
77,아이디문정치과의원,9.0,서울특별시 송파구 법원로 114 엠스테이트 빌딩  A-207
78,서울프라임치과의원,9.3,서울특별시 동대문구 휘경로 12-1 4층 (이문동)
79,리드치과의원,9.7,"서울특별시 송파구 백제고분로 264 2층 (삼전동, 호수빌딩)"
80,서래치과의원,9.8,서울 서초구 서래로 39 3층
81,서울나란이치과교정과치과의원,9.5,서울 관악구 남부순환로 1801
82,미소랑치과의원 마곡점,9.3,서울 강서구 공항대로 247 퀸즈파크나인 A동 301호
83,최종명치과의원,9.0,서울 광진구 광나루로56길 34 구의동현대2단지 종합상가
84,석치과의원,8.7,서울 중랑구 망우로 415 제세한의원
85,서울에스치과의원,9.2,서울 강서구 화곡로 347
86,서울수락치과의원,9.2,"서울특별시 노원구 동일로 1598 2층 2호 (상계동, 부흥빌딩)"
